iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,
"number = 100000000	threads = 1	cache_line_size = 1",,,,,"number = 100000000	threads = 2	cache_line_size = 1",,,,,"number = 100000000	threads = 3	cache_line_size = 1",,,,,"number = 100000000	threads = 4	cache_line_size = 1",,
#15,9338512951,9327070622,,,#15,352450914,9332387009,,,#15,365063873,337984169,,,#14,369308532,9352422019
#16,349845285,336279719,,,#16,9347204858,328997138,,,#16,369743457,348228890,,,#15,9334393664,316795643
#17,344512810,329880752,,,#17,367336518,348153497,,,#17,9373732149,9350126721,,,#16,372929349,354027601
#18,9355191658,9333299870,,,#18,369978875,9353039023,,,#18,384288080,368299589,,,#17,367804214,9345713058
#19,345136787,329689554,,,#19,9334167758,327705770,,,#19,348754941,326661433,,,#18,9342957295,327882430
#20,357504809,343661991,,,#20,366933706,9347501750,,,#20,9360807326,9338034160,,,#19,362693207,341999100
#21,9362819604,9348893991,,,#21,328647068,304316225,,,#21,387709789,366279160,,,#20,9329547160,9309194581
#22,339904655,330044324,,,#22,9362619620,348607173,,,#22,9377897045,359563236,,,#21,365324916,343419806
#23,9359919358,9335112179,,,#23,369480545,9354426288,,,#23,344756291,9332373867,,,#22,352402749,330284540
#24,366158099,354759627,,,#24,385336599,367608795,,,#24,320032522,299034433,,,#23,9331264302,9314214560
#25,345102310,331116241,,,#25,9380491810,362872599,,,#25,9374723424,358678523,,,#24,384421832,368747478
#26,9321999258,301603386,,,#26,355076226,9337799317,,,#26,356915611,9329413591,,,#25,360822797,340498885
#27,378268719,9369664785,,,#27,9335510038,320318660,,,#27,361594321,338418404,,,#26,9356708387,9337650429
#28,364474898,342287029,,,#28,367148174,345838748,,,#28,9349053003,327303037,,,#27,382441771,361605435
#29,9344479081,9328334267,,,#29,353825373,9336572713,,,#29,327657369,9314250297,,,#28,347743708,323226086
,,,,,,,,,,,,,,,#29,9337554206,9313674762
,,,,,,,,,,,,,,,,,
iterations = 30,,,,,iterations = 30,,,,,iterations = 30,,,,,,,
"number = 100000000	threads = 13	cache_line_size = 1",,,,,"number = 100000000	threads = 14	cache_line_size = 1",,,,,"number = 100000000	threads = 15	cache_line_size = 1",,,,,,,
#0,368986058,352639590,,,#0,376513150,358271001,,,#0,387214824,359545151,,,,,
#1,9395235714,368298575,,,#1,333054702,304292567,,,#1,380072148,353149908,,,,,
#2,363625898,9345320223,,,#2,9377686777,9349140597,,,#2,9378114293,9347348063,,,,,
#3,357576234,334425575,,,#3,345666347,329236206,,,#3,358790038,327420705,,,,,
#4,9359479795,338751024,,,#4,344334835,317325169,,,#4,9325725408,294265646,,,,,
#5,378849182,9363772181,,,#5,9377268387,9353696541,,,#5,362599821,9333283745,,,,,
#6,379092460,358187228,,,#6,355845892,333447558,,,#6,360417880,331614803,,,,,
#7,9363444446,332064711,,,#7,9350202828,328609786,,,#7,9341253430,324273663,,,,,
#8,344185979,9318614032,,,#8,406247663,9373950742,,,#8,336677564,312995571,,,,,
#9,379511277,344778192,,,#9,356629228,334719848,,,#9,341007948,9313512444,,,,,
#10,9381234486,355263526,,,#10,9406741977,380867608,,,#10,9361466501,325032917,,,,,
#11,373669383,9347072555,,,#11,390661642,9372360647,,,#11,338484290,309209659,,,,,
#12,9402869040,379249795,,,#12,9390704681,363103292,,,#12,355457047,9327022710,,,,,
#13,352791976,328631484,,,#13,353012186,331539002,,,#13,9380255455,349580074,,,,,
#14,337097662,9317517942,,,#14,382869331,9356932136,,,#14,378318566,359828300,,,,,
#15,9391429688,367998655,,,#15,9341223903,322356078,,,#15,414603427,9377375838,,,,,
#16,371875394,344486053,,,#16,383751938,361849330,,,#16,9316506327,301725601,,,,,
#17,376271761,9354137755,,,#17,369876388,9345019901,,,#17,349703802,326933824,,,,,
#18,9383570620,358555236,,,#18,9343949068,315715439,,,#18,9397794106,9365555707,,,,,
#19,362679964,332801452,,,#19,355649035,330682555,,,#19,382594231,353882019,,,,,
#20,9329360884,9320568586,,,#20,349194124,9320748639,,,#20,394710460,9369179514,,,,,
#21,368472101,346193837,,,#21,9358589910,336823219,,,#21,9376020805,347280339,,,,,
#22,364382742,344242608,,,#22,367457708,339436247,,,#22,372981316,348321359,,,,,
#23,9339188892,9317815537,,,#23,356429108,9326939298,,,#23,363432513,9327669231,,,,,
#24,367526968,344375951,,,#24,9351082524,322568665,,,#24,9390188173,362577898,,,,,
#25,319655587,300302643,,,#25,380389315,358224332,,,#25,351141641,322613863,,,,,
#26,9346010586,9327768464,,,#26,9377717524,9351117284,,,#26,9343664769,9326601798,,,,,
#27,384593594,365063086,,,#27,392749090,363440910,,,#27,380460830,353918620,,,,,
#28,360560131,331299674,,,#28,355420342,331363257,,,#28,373333753,356460275,,,,,
#29,9333080450,9310909696,,,#29,9366248810,9341806469,,,#29,9376804332,9355594985,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
